Call,GOTA Call,Final Score,Category,Section,Power Multiplier,Club Name,Participants,Transmitters,Power Source,Total CW QSOs,Total Digital QSOs,Total Phone QSOs,Total QSOs,Bonus Points,Checklog Y/N
KB3VAV,,586,1D,EPA,2,,1,1,C,0,134,0,134,50,
KB3Z,,1866,1D,EPA,2,Potomac Valley RC,1,1,C,0,454,0,454,50,Y
KB4CG,,3866,1B1,VA,2,Potomac Valley RC,1,1,G,821,0,66,887,450,
KB4DE,,550,1D,SC,2,Columbia ARC,1,1,C,125,0,0,125,50,
KB4ENQ,,66,1D,KY,2,Woodford Co. ARC,1,1,C,0,0,8,8,50,
KB4FB,,0,1D,WCF,1,,1,1,C,12,0,0,12,0,Y
KB4FHA,,160,1D,SC,2,Swamp Fox Contest Grp.,1,1,C,0,0,55,55,50,Y
KB4KC,,2222,1D,KY,2,,1,1,C,0,543,0,543,50,
KB4MOX,,1518,2E,GA,2,Piedmont ARC,1,2,B,0,154,1,155,900,
KB4P,,560,1B1B,WCF,5,Sarasota Em. RC,1,1,B,30,1,0,31,250,
KB4XT,,1440,1E,AL,5,Wiregrass ARC,1,1,B,0,129,0,129,150,
KB4YKC,,464,2E,NFL,2,,20,2,G,0,17,23,40,350,
KB5A,KJ5KEU,2412,3AC,NTX,2,Metrocrest ARS,28,3,C,218,124,22,364,1000,
KB5ILY,,228,1E,AR,2,,1,1,B,0,0,14,14,200,
KB5MAR,,1280,3F,NTX,2,Marshall ARC,12,3,G,22,33,55,110,950,
KB5TX,,2208,4A,STX,2,Kendall ARS,15,4,B,0,278,23,301,1050,
KB5WBH,,542,1E,AR,2,,1,1,G,0,98,0,98,150,
KB6A,,506,1D,ORG,2,,1,1,C,114,0,0,114,50,
KB6C,,822,2D,SB,2,,1,2,C,0,193,0,193,50,
KB6CA,,266,1D,ORG,2,San Gorgonio Pass ARC,1,1,C,29,0,0,29,150,
KB6DKK,,138,1D,LAX,2,,1,1,C,0,0,44,44,50,
KB6JFL,,406,1D,SJV,2,Kern Co. Central Valley ARC,1,1,C,44,41,8,93,50,
KB6QPI,,230,1D,WCF,2,,1,1,C,0,0,90,90,50,
KB6YYH,,70,1D,EB,2,,1,1,C,0,0,10,10,50,
KB6ZA,,158,1C,EB,2,,1,1,B,2,0,0,2,150,
KB7AWG (+KB7MLK),,310,1B2,NV,2,Red Mountain Radio Amateurs,2,1,B,0,0,80,80,150,
KB7GFL,,450,1D,WWA,2,Sky Valley ARC,1,1,C,0,75,0,75,150,
KB7HDX,,322,1D,EWA,2,,1,1,C,0,0,136,136,50,
KB7KDT,,440,1B1B,WWA,5,,1,1,B,29,0,0,29,150,
KB7LJP,,890,1B1B,WWA,5,,1,1,B,54,0,0,54,350,
KB7QVG,,122,1E,SC,2,,1,1,B,0,0,36,36,50,
KB7U,,442,1E,AZ,2,,1,1,B,2,71,0,73,150,
KB8DDZ,,136,1E,OH,2,,1,1,G,0,0,43,43,50,
KB8MYC,,254,1D,OH,2,Oh-Ky-In ARS,1,1,C,0,51,0,51,50,
KB8QGR,,114,1D,MI,2,,1,1,C,0,0,32,32,50,
KB8RTB,,790,1B1B,OH,5,,1,1,B,0,44,0,44,350,
KB8U,,500,1C,MI,5,,1,1,B,25,0,0,25,250,
KB8W,,370,1E,MI,5,Copper Country Radio Amateur Assn.,1,1,B,22,0,0,22,150,
KB8ZR,,510,1D,OH,2,,1,1,C,0,115,0,115,50,
KB8ZYE,,152,1D,OH,2,,1,1,C,17,0,17,34,50,
KB9ELW,,58,1B1C,IN,2,,1,1,C,0,2,0,2,50,
KB9FU,,304,1E,STX,2,,1,1,S,0,0,27,27,250,
KB9GYO,,644,3A,IN,2,Laughery Valley ARC,3,3,G,0,34,29,63,450,
KB9JDP,,160,1E,OH,2,,2,1,B,0,0,5,5,150,
KB9JMJ,,370,1D,WI,2,,1,1,C,0,80,0,80,50,
KB9LHT,,338,1D,AZ,2,,1,1,C,0,7,130,137,50,
KB9OHY,,2232,4A,IN,2,Orange Co. (IN) ARC,19,4,B,97,13,121,231,1550,
KB9S,,1606,1E,WI,2,Eau Claire ARC,1,1,B,272,67,0,339,250,
KB9SCT,,986,1D,WI,2,,1,1,C,0,183,2,185,250,
KB9SDA,,554,1B1,IN,2,,1,1,B,0,0,102,102,350,
KB9ZYX,,218,1E,IL,2,,1,1,B,0,17,0,17,150,
KC0DWZ,,266,1D,MN,2,Anoka Co. RC,1,1,C,43,0,22,65,50,
KC0INP,,498,1D,MN,2,Mining ARC/St. Paul RC,1,1,C,87,0,50,137,50,
KC0JQO,,138,1D,MN,2,,1,1,C,1,21,0,22,50,
KC0NOX,,662,1B1,MO,2,MikeOscar Contesting Club,1,1,B,0,6,39,45,560,
KC0RAM,,540,1C,IA,5,,1,1,B,0,0,58,58,250,
KC0RVS,KF0BOB,1219,4A,CO,2,Village 7 ARC,20,4,B,78,10,46,134,775,
KC1BB,,62,1D,AZ,2,,1,1,C,0,3,0,3,50,
KC1BDJ,,926,1B1,VT,2,,1,1,B,178,0,32,210,150,
KC1CUE,W1KDA,4656,2F,RI,2,Coventry (RI) EMA,28,2,C,0,272,664,936,2240,
KC1DLN,,1046,1D,ME,2,,1,1,C,0,249,0,249,50,
KC1FOZ,,250,1B1,NH,2,,1,1,B,0,0,50,50,150,
KC1GGY,,134,1D,RI,2,,1,1,C,0,3,36,39,50,
KC1GLB,,250,1D,NH,2,,1,1,C,0,50,0,50,50,
KC1NBY,,598,1D,CT,2,,1,1,C,0,107,60,167,50,
KC1NE,,110,1B1,KY,2,Northern KY ARC,1,1,B,0,0,30,30,50,
KC1NXT,,90,1D,VT,2,,1,1,C,0,10,0,10,50,
KC1OT,,876,1E,CT,2,,1,1,B,0,0,303,303,270,
KC1PRG,,166,1D,WMA,2,Quaboag Valley ARC,1,1,C,0,29,0,29,50,
KC1QEM,,366,1D,EMA,2,Barnstable ARC,1,1,C,0,0,158,158,50,
KC1SAB,,178,1E,WMA,2,Quaboag Valley ARC,1,1,B,0,0,14,14,150,
KC1TUF,,314,1D,EMA,2,Cape Ann ARA,1,1,C,0,41,0,41,150,
KC1V,,614,1E,CT,2,Yankee Clipper Contest Club,1,1,G,141,0,0,141,50,
KC1WAF,,58,1D,SCV,2,,1,1,C,0,0,4,4,50,
KC1WD,,170,1D,EMA,2,,1,1,C,0,30,0,30,50,
KC1WOV,,126,1D,EMA,2,,1,1,C,0,0,38,38,50,
KC2FTD,,358,1F,ENY,2,NY State EOC,2,1,C,0,0,104,104,150,
KC2GRN,,110,1D,NLI,2,,1,1,C,0,15,0,15,50,
KC2J,,1780,1B1B,AZ,5,Oro Valley ARC,1,1,B,44,94,0,138,400,
KC2JYD,,206,1D,WCF,2,,1,1,C,0,0,78,78,50,
KC2MJB,,218,1B1,WNY,2,,1,1,B,0,0,34,34,150,
KC2NJ,,490,1D,NNJ,2,West Essex ARC,1,1,C,0,110,0,110,50,
KC2QVD,,374,1D,NC,2,South Wake ARC,1,1,C,0,0,162,162,50,
KC2RC,,1618,2A,NLI,2,Kings Co. RC,24,2,G,33,86,236,355,670,
KC2RDX,,658,1D,VA,2,Morris RC/Hanover Township OEM,1,1,C,0,152,0,152,50,
KC2USA,,144,1B1,WNY,2,,1,1,G,0,0,47,47,50,
KC2VPE,,92,1D,NNJ,2,,1,1,C,0,0,21,21,50,
KC2VTM,,146,1D,ENY,2,Orange Co. (NY) ARC,1,1,C,0,16,16,32,50,
KC2WUF,,334,1D,NNJ,2,New Providence ARC,1,1,C,0,46,0,46,150,
KC2YXU,,70,1D,WNY,2,,1,1,C,0,0,10,10,50,
KC2ZRA,,82,1D,NLI,2,,1,1,C,0,8,0,8,50,
KC3BUZ,,200,1B1B,EPA,5,,1,1,B,0,0,30,30,50,
KC3EJC,,226,1B1,WPA,2,,1,1,B,0,0,38,38,150,
KC3FHC,NE3MD,2093,3F,MDC,2,Harford Co. ARES/RACES,17,3,B,111,26,165,302,1215,
KC3FMI,,190,1B1B,NM,5,,1,1,B,4,0,0,4,150,
KC3KFW,,126,1D,WPA,2,,1,1,C,0,19,0,19,50,
KC3KRZ,,0,1D,WPA,1,,1,1,C,0,0,16,16,0,Y
KC3LUV,,72,1D,MDC,2,Queen Anne’s ARC,1,1,C,0,0,11,11,50,
KC3MAL,,362,1D,IA,2,Des Moines Radio Amateurs Assn.,1,1,C,78,0,0,78,50,
KC3MWD (+KN4SGS),,505,1B2B,MDC,5,,2,1,B,0,10,1,11,400,
KC3OLO (+KD3OLO),,990,2B2,EPA,2,,2,2,B,0,100,0,100,590,Y
KC3PIB,,380,1B1B,WPA,5,,1,1,B,0,11,4,15,250,
KC3RHQ,,790,1D,WPA,2,Butler Co. AR Public Srvc. Grp.,1,1,C,0,185,0,185,50,
KC3RVZ,,282,1B1,MDC,2,,1,1,B,0,0,16,16,250,
KC3SMA,,926,3A,WPA,2,Island of Misfit Hams,3,3,B,0,67,54,121,550,
KC3TRT,,90,2C,EPA,2,,2,2,B,0,0,20,20,50,
KC3TSH,,364,1B1,WPA,2,McKean Co. ARC,1,1,B,0,0,7,7,350,
KC3UII,,1260,1D,EPA,2,Frankford Radio Club,1,1,C,0,249,97,346,70,
KC3UNI,,414,1D,WPA,2,,1,1,C,0,91,0,91,50,
KC3VPB,,1580,2E,WPA,2,,1,2,B,0,285,45,330,350,
KC3WIE,,625,1B1B,EPA,5,,1,1,B,0,0,15,15,550,
KC3WVZ,,210,1E,MDC,2,,1,1,B,0,0,30,30,150,
KC3WWC,,650,1E,EPA,5,,1,1,B,0,50,0,50,150,
KC3WX,,5740,2D,EPA,2,,3,2,C,878,291,457,1626,150,
KC3YVD,,130,1D,WPA,2,Butler Co. AR Public Srvc. Grp.,1,1,C,0,13,14,27,50,
KC3YVE,,454,1D,WPA,2,Butler Co. AR Public Srvc. Grp.,1,1,C,0,101,0,101,50,
KC4CR,,460,1B1B,OR,5,,1,1,B,21,0,0,21,250,
KC4FLT,,916,2A,AL,2,Enterprise ARS,8,2,B,70,0,43,113,550,
KC4GCK,,1342,1D,GA,2,,1,1,C,0,323,0,323,50,
KC4IR,,386,1D,AL,2,,1,1,C,84,0,0,84,50,
KC4KS,,170,1D,TN,2,Macon Area Ham Radio Soc.,1,1,C,30,0,0,30,50,
KC4KZR,,460,1D,NC,2,,1,1,C,5,60,0,65,200,
KC4RSL,,230,1E,GA,2,Athens RC,2,1,B,0,0,30,30,170,
KC4SCO,,734,2A,NC,2,Cisco Systems ARC,15,2,G,0,31,20,51,570,
KC4SM,,602,1E,VA,2,,1,1,G,1,54,116,171,150,
KC4YRV,,946,1E,GA,2,,1,1,B,0,221,6,227,50,
KC4ZA,,374,1D,VA,2,Heritage Hunt Hams,1,1,C,81,0,0,81,50,
KC5CWW,,1814,3AC,MS,2,George Co. ARES,30,3,C,0,250,112,362,590,
KC5DCT,,110,1D,NTX,2,,1,1,C,15,0,0,15,50,
KC5DR,WA5WX,1685,2A,LA,2,Louisiana Delta RC,32,2,G,0,136,73,209,995,
KC5JMD,,370,1E,NTX,2,Richardson Wireless Klub,1,1,B,0,55,0,55,150,
KC5LL,,250,1B1,NTX,2,Lake Area AR Klub,1,1,B,0,0,100,100,50,
KC5QNK,,312,1D,STX,2,,1,1,C,0,75,6,81,0,
KC6ZBE,,440,1B1B,STX,5,,1,1,B,29,0,0,29,150,
KC7CCK (+KE7AUP),,505,1B2B,EWA,5,,2,1,B,0,0,31,31,150,
KC7DB,,72,1D,AZ,2,,1,1,C,0,0,11,11,50,
KC7H,,344,1D,EWA,2,Panoramaland ARC,1,1,C,0,0,147,147,50,
KC7IMD,,382,1B1,OR,2,,1,1,B,0,33,0,33,250,
KC7KFF,,612,1A,MT,2,Milky Way Wireless Club,3,1,B,31,0,59,90,370,
KC7ND,,170,1E,TN,2,Delta and Neshoba ARC,1,1,B,0,0,60,60,50,
KC7O,,856,1E,LAX,2,PRC/SPARC/JPLARC/CITARC,1,1,B,0,0,303,303,250,
KC7ODP,,368,1F,ID,2,Kootenai ARES/RACES,14,1,B,0,0,9,9,350,
KC7RJK,,440,1B1B,OR,5,,1,1,B,0,0,38,38,250,
KC7TGX,,552,1B1,AZ,2,,1,1,B,0,36,29,65,350,
KC7TMC,,334,2A,NV,2,Nellis ARC,18,2,G,0,0,17,17,300,
KC7V,,4366,1D,AZ,2,Arizona Outlaws Contest Club,1,1,C,1079,0,0,1079,50,
KC7WDL (+KC3UNP),,535,2B2B,WWA,5,,2,2,B,14,4,1,19,350,
KC7Z,,1266,3A,WWA,2,Kitsap Co. ARC,35,3,G,0,50,153,203,760,
KC8FOV,,432,1B1,OH,2,,1,1,G,0,0,91,91,250,
KC8GW,,130,1D,OH,2,,1,1,C,0,0,40,40,50,
KC8GZK,,108,1D,VA,2,,1,1,C,0,0,29,29,50,
KC8HQS,,394,1D,OH,2,Oh-Ky-In ARS,1,1,C,0,0,122,122,150,
KC8J,,0,1D,SDG,1,,1,1,C,140,0,0,140,0,Y
KC8JRS,,146,1D,OH,2,,1,1,C,0,24,0,24,50,
KC8MRC,,52,1D,OH,2,,1,1,C,0,0,1,1,50,
KC8OOM,,92,1D,OH,2,,2,1,C,0,0,21,21,50,
KC8QVR,,1878,1D,OH,2,,1,1,C,0,457,0,457,50,
KC8RJS,,762,1B1,OH,2,,1,1,B,0,0,106,106,550,
KC8RWR,,60,1D,OH,2,,1,1,C,0,0,5,5,50,
KC8SQC,,430,1E,MI,2,,1,1,B,70,0,0,70,150,
KC8VJD,,880,1B1B,OH,5,,1,1,B,83,0,0,83,50,
KC8VMG,,1278,1D,WV,2,,1,1,C,0,307,0,307,50,
KC8ZKS,,912,1D,OH,2,,1,1,C,0,215,1,216,50,
KC9DK,,755,1B1B,IN,5,,1,1,B,0,0,101,101,250,
KC9EI,,726,1D,ID,2,,1,1,C,0,169,0,169,50,Y
KC9GIC,,254,1D,IN,2,,1,1,C,0,0,102,102,50,
KC9JVR,,392,1D,IL,2,,1,1,C,0,55,11,66,150,
KC9LFP,,348,1B1,WI,2,,1,1,B,0,18,63,81,150,
KC9LMF,,562,2F,IL,2,Big Bend ARC,5,2,C,0,0,6,6,550,
KC9LZW,,108,1D,WI,2,Chippewa Valley ARC,1,1,C,0,0,29,29,50,
KC9OJN,,140,1D,IL,2,,1,1,C,0,0,45,45,50,
KC9OLF,,544,3AC,IN,2,Southern IN Tri-Co. ARC,4,3,C,0,0,147,147,250,
KC9OYE,,166,1D,IN,2,Northwest IN DX Club,1,1,C,0,29,0,29,50,
KC9PL,,894,2AC,IL,2,Ft. Madison ARC,8,2,C,0,211,0,211,50,
KC9QXD,,410,1D,WI,2,,2,1,C,0,78,24,102,50,
KC9SJJ,,602,2F,IN,2,Vigo Co. EmComm Team,7,2,C,0,76,24,100,250,
KC9TEP,,70,1D,IL,2,Sangamon Valley RC,1,1,C,0,0,10,10,50,
KC9UJS,,158,1D,IL,2,,1,1,C,27,0,0,27,50,
KC9USB,,194,1E,IL,2,,1,1,B,0,0,22,22,150,
KD0JHZ,,228,1E,IA,2,,1,1,B,0,7,15,22,170,
KD0LHI,,554,1D,ID,2,,2,1,C,0,0,77,77,400,
KD0PYK,,578,4E,CO,2,Indian Peaks RC,1,4,B,0,32,0,32,450,
KD0QG,,122,1D,CO,2,,1,1,C,9,9,0,18,50,
KD0ZYL,,312,1D,MN,2,Northern Lakes ARC,1,1,C,0,53,0,53,100,
KD1JK,,194,1B1,CT,2,BEARS of Manchester,1,1,B,0,0,22,22,150,
KD2DLL,,1346,1E,ENY,2,,1,1,B,0,247,54,301,250,
KD2EOM,,572,3A,NM,2,The Albuquerque Bois,3,3,B,0,0,11,11,550,
KD2JC,,1070,1D,NNJ,2,,1,1,C,255,0,0,255,50,
KD2JFU,,116,1D,WNY,2,,1,1,C,0,1,31,32,50,
KD2KW,,250,1D,NTX,2,Lake Area AR Klub,1,1,C,50,0,0,50,50,
KD2KYG,,262,1E,WNY,2,,1,1,B,0,0,56,56,150,
KD2PFH,,322,1D,WNY,2,,1,1,C,0,68,0,68,50,
KD2RPX,,212,1B1,UT,2,,1,1,B,0,0,31,31,150,
KD2SGM,,288,1D,NNJ,2,West Essex ARC,1,1,C,56,0,7,63,50,
KD2TUS,,918,1D,SNJ,2,Gloucester Co. ARC,1,1,C,0,210,14,224,50,
KD2UBX,,90,1D,NNY,2,,1,1,C,6,0,8,14,50,
KD2VRL,,142,1D,NNJ,2,,1,1,C,0,0,46,46,50,
KD2WBX,,286,1D,WNY,2,,1,1,C,56,3,0,59,50,
KD2YIN,,162,1D,EMA,2,,1,1,C,0,25,6,31,50,
KD2YLZ,,286,1B1,NNY,2,,1,1,B,0,0,18,18,250,
KD2ZHI,,82,1D,WNY,2,,1,1,C,0,0,16,16,50,
KD3AGS,,194,1B1,MDC,2,,1,1,B,0,0,22,22,150,
KD3ATH,,96,1D,WPA,2,,1,1,C,0,0,23,23,50,
KD3JK,,70,1D,MDC,2,Antietam Radio Assn.,1,1,C,0,0,10,10,50,
KD3KP,,294,1B1,EPA,2,,1,1,B,0,0,72,72,150,
KD3M (+WW3G),,1362,2B2,WV,2,Squirrelly Hams ARC,2,2,G,3,95,195,293,580,
KD3MAD,,346,1E,EPA,2,,3,1,B,0,0,28,28,290,
KD3RF,,118,1D,EPA,2,Frankford Radio Club,1,1,C,0,0,34,34,50,
KD4ACG,,196,1D,WCF,2,,1,1,C,0,0,73,73,50,
KD4C,,614,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,91,0,91,250,
KD4HNS,,352,2D,STX,2,Brazos Valley ARC,1,2,C,0,50,51,101,50,
KD4MCB,,242,1D,STX,2,Lake Conroe ARC,1,1,C,0,0,96,96,50,
KD4NLE,,415,1B1B,WCF,5,,1,1,B,0,0,13,13,350,
KD4O,,1050,1E,SC,5,,1,1,B,64,26,0,90,150,
KD5DX,,2662,4A,STX,2,Medina Co. AR Corp.,28,4,B,219,25,318,562,1050,
KD5GFG,,450,1E,LA,2,Ozone ARC,1,1,B,0,0,100,100,250,
KD5HUS,,586,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,134,0,134,50,
KD5ILA,,414,1D,AR,2,,1,1,C,0,91,0,91,50,
KD5NPC,,88,1D,OK,2,Tulsa ARC,1,1,C,0,0,19,19,50,
KD5SFK (+KJ5DGX),,408,1B2,STX,2,,2,1,B,0,0,79,79,250,
KD5YPH,,116,1D,CO,2,Kicked Back Contesters Club,1,1,C,0,11,11,22,50,
KD5ZKI,,198,1D,NTX,2,,1,1,C,0,0,74,74,50,
KD6DIF,,86,1B2,SCV,2,,2,1,B,0,0,18,18,50,
KD6HOF (+K6REJ),,544,1B2,SV,2,Sierra Foothills ARC,2,1,B,0,30,137,167,150,
KD6SPN,,202,1D,SCV,2,,1,1,C,0,38,0,38,50,
KD6UY,,302,1E,NTX,2,Cove Repeater Assn.,1,1,G,0,38,0,38,150,
KD7DPS,,1090,1E,AZ,2,,1,1,B,0,175,120,295,150,
KD7GOM,,414,1B1C,AZ,2,,1,1,C,64,0,4,68,150,
KD7LEE,,1358,1E,WWA,2,Western WA DX Club,1,1,B,151,150,2,303,150,
KD7PCE,,190,1D,AZ,2,,1,1,C,0,0,70,70,50,
KD7PH,KK7VO,1080,2A,ID,2,Palouse Hills ARC,21,2,B,0,18,64,82,880,
KD7QJL (+KK6LSF),,2250,2B2B,OR,5,,2,2,S,0,198,0,198,270,
KD7ZYN,,405,1B1B,WWA,5,,1,1,B,3,21,3,27,150,
KD8DEU,,310,1B1,MI,2,,1,1,B,65,0,0,65,50,Y
KD8EVN,,770,1D,OH,2,Toledo Mobile Radio Assn.,1,1,C,0,180,0,180,50,
KD8HE,,468,1D,WV,2,,1,1,C,0,85,39,124,50,
KD8HTS,,166,1D,WCF,2,Tamiami ARC,1,1,C,0,29,0,29,50,
KD8ITX (+KC2TOO),,200,1B2,WNY,2,,2,1,B,0,0,25,25,150,
KD8JQE,,180,1D,OH,2,,1,1,C,0,0,65,65,50,
KD8MSZ,,254,1D,OH,2,,1,1,C,0,0,102,102,50,
KD8ORN,,106,2D,OH,2,Hocking Valley ARC,2,2,C,0,0,28,28,50,
KD8SQ,,2388,2A,OH,2,Orrville ARS,5,2,G,0,451,167,618,250,
KD8UM,,194,1B1,MI,2,,1,1,B,0,0,22,22,150,
KD8WBZ,,1154,1D,OH,2,Toledo Mobile Radio Assn.,1,1,C,0,276,0,276,50,
KD8YNG,,446,1B1,IN,2,Northeastern IN ARA,1,1,B,0,8,32,40,350,
KD9AOK,,240,1D,IL,2,Bureau Co. ARES,1,1,C,0,0,45,45,150,
KD9BRW,,354,1E,IL,2,Windy City ARS,1,1,B,0,51,0,51,150,
KD9EBS,,480,1E,IL,5,,1,1,B,33,0,0,33,150,
KD9JSQ,,450,1E,TN,2,,1,1,B,0,50,0,50,250,
KD9KYL,,690,1B1B,WI,5,,1,1,B,0,53,2,55,150,
KD9LHE,,864,1D,IN,2,Bear Bait RC,2,1,C,0,202,3,205,50,
KD9LLH,,1770,5AC,IN,2,Patoka Valley ARC,15,5,C,0,195,160,355,670,
KD9LTN,,218,1D,IL,2,,1,1,C,23,19,0,42,50,
KD9LVX,,538,1D,IN,2,,1,1,C,0,122,0,122,50,
KD9NHZ,,72,1D,IL,2,Bolingbrook ARS,1,1,C,0,0,11,11,50,
KD9NLP,,298,2E,IL,2,,2,2,B,0,12,0,12,250,
KD9OAZ,,210,1D,WI,2,Waupaca Co. ARES/RACES,1,1,C,0,40,0,40,50,
KD9OOJ,,78,1D,WI,2,,1,1,C,0,7,0,7,50,
KD9PM,,162,1D,WI,2,,1,1,C,0,0,56,56,50,
KD9QDL,,5430,1E,IN,5,Northeastern IN ARA,1,1,B,0,528,0,528,150,
KD9VAG,,290,1B1,IN,2,,1,1,B,0,0,20,20,250,
KD9VDI,,72,1D,IN,2,Patoka Valley ARC,1,1,C,0,0,11,11,50,
KD9VFA,,698,2AC,IN,2,Mississinewa Valley ARA,5,2,C,0,14,56,70,530,
KD9VPJ,,1454,1B1,IL,2,Bolingbrook ARS,1,1,B,0,301,0,301,250,
KD9WAX,,562,1A,WI,2,Calumet Co. ARES,3,1,G,0,0,6,6,550,
KD9WIF,,200,1E,IL,2,,1,1,B,0,0,25,25,150,
KD9WXK,,270,1B1,IN,2,Potato Creek POTA,1,1,B,0,0,10,10,250,
KD9YAX,,250,1E,WI,2,,1,1,B,0,0,50,50,150,
KD9YOO,,264,1D,IN,2,,1,1,C,0,46,15,61,50,
KD9YPG,,136,1D,IN,2,,1,1,C,0,11,21,32,50,
KD9YWG,,294,1E,WI,2,Fox Cities ARC,1,1,B,7,0,58,65,150,
KD9ZNA,,216,1B1,IL,2,,1,1,B,0,0,33,33,150,
KD9ZNB,,90,1D,IN,2,AR of Decatur Co.,1,1,C,0,0,20,20,50,
KE0AE,,706,2F,CO,2,Big Sandy ARC,4,2,C,0,89,0,89,350,
KE0FOE,,4030,1E,MO,2,,2,1,B,0,920,0,920,350,
KE0GSZ,,510,1E,IA,2,,1,1,B,0,90,0,90,150,
KE0NCQ,,1066,5A,CO,2,Denver Radio League,5,5,B,0,20,18,38,950,
KE0NVB,,1466,4AC,CO,2,Castle Rock Repeater Grp.,5,4,C,0,232,194,426,150,
KE0QED,,186,1A,CO,2,Western CO ARC,3,1,B,0,0,18,18,150,
KE0TT,,4290,1B1B,MN,5,,1,1,B,414,0,0,414,150,
KE0UI,,4134,1E,CO,2,,1,1,G,967,0,8,975,250,
KE0UNV,,526,1D,MO,2,MikeOscar Contesting Club,1,1,C,0,113,12,125,50,
KE0WPA,,2070,1D,MN,2,,2,1,C,0,0,1000,1000,70,
KE1IH,,310,1D,ENY,2,Hudson Valley Contesters and DXers,1,1,C,42,0,46,88,50,
KE2AUS,,338,1E,WNY,2,Binghamton ARA,1,1,G,0,0,94,94,150,
KE2BXZ,,96,1B1,WNY,2,,1,1,B,1,0,21,22,50,
KE2CAV,,60,1D,WNY,2,Binghamton ARA,1,1,C,0,0,5,5,50,
KE2DOS,,160,1D,NNY,2,,1,1,C,0,0,55,55,50,
KE2DPK,,392,1E,NLI,2,,1,1,B,0,0,121,121,150,
KE2DYI,,60,1D,WNY,2,,1,1,C,0,0,5,5,50,
KE2HG,,800,3AC,SC,2,Aiken Radio Club,5,3,C,35,37,181,253,150,
KE3E,,190,1E,DE,2,,1,1,B,0,10,0,10,150,
KE3K,,1996,1D,MI,2,,1,1,C,478,0,17,495,50,
KE3LA,,512,1D,WPA,2,,1,1,C,1,112,5,118,50,
KE3TK,,128,1D,WPA,2,,1,1,C,0,0,39,39,50,
KE3V (+WB3CEG),,3760,1B2B,WPA,5,Neighbor Kids,2,1,B,324,37,0,361,150,
KE3VR,,526,1D,MDC,2,,1,1,C,106,0,26,132,50,
KE3ZT,,450,1D,WPA,2,BCARS,1,1,C,100,0,0,100,50,
KE4CR,,574,1D,VA,2,Central VA Contest Club,1,1,C,131,0,0,131,50,
KE4EDD,,252,1B1,NFL,2,,1,1,B,0,0,1,1,250,
KE4HAM,,1350,4A,SC,2,Sun City Hilton Head ARC,17,4,B,85,0,80,165,850,
KE4KMD,,262,1E,SC,2,Active Amateurs Radio Grp.,1,1,G,53,0,0,53,50,
KE4MH,WW4DUB,3967,3A,NC,2,High Appalachian Mountain ARS,6,3,B,153,282,111,546,2005,
KE4Q,,2590,1E,SFL,5,,1,1,B,234,0,0,234,250,
KE4RG,,420,1B1B,VA,5,,1,1,B,27,0,0,27,150,
KE4SC (+K4NJN),,984,1B2,WV,2,Aiken Contest Club,2,1,B,177,0,63,240,150,
KE4TP,,1328,1D,WCF,2,,1,1,C,0,289,11,300,150,
KE4UKX,,770,1E,VA,2,,7,1,B,130,0,0,130,250,
KE5CW,,1660,1B1B,NTX,5,Lake Area AR Klub,1,1,B,121,0,0,121,450,
KE5DM,,242,1E,STX,2,,1,1,B,0,23,0,23,150,
KE5ES,,1420,1B1B,NTX,5,,1,1,B,117,0,0,117,250,
KE5FSY,,1088,4F,AR,2,Arkansas Diamond ARC,13,4,C,4,45,61,110,770,
KE5GLZ,,342,1D,NTX,2,Richardson Wireless Klub,1,1,C,0,73,0,73,50,
KE5GMN,,242,1D,LA,2,Southeast LA ARC,1,1,C,0,48,0,48,50,
KE5GRQ,,720,4A,WTX,2,Dallam Hartley Amateur Radio,9,4,G,0,0,35,35,650,
KE5HP,KG9BSA,3650,4A,STX,2,Houston POTA,42,4,B,222,189,193,604,1620,
KE5JTS,,512,1D,SJV,2,,1,1,C,0,113,5,118,50,
KE5LHC,,320,1E,OK,2,,1,1,S,0,0,35,35,250,
KE5MDP,,96,1D,MO,2,,1,1,C,0,0,23,23,50,
KE5RS,,2306,3A,STX,2,Hambuds,10,3,B,105,188,142,435,850,
KE5VXZ,,858,1D,NTX,2,McKinney ARC,1,1,C,0,202,0,202,50,
KE6GFI,,114,2D,AZ,2,Arizona Outlaws Contest Club,2,2,C,0,0,32,32,50,
KE6PO,,68,1D,WWA,2,,1,1,C,0,0,9,9,50,
KE6RN,,466,3AC,SJV,2,California City ARC,12,3,C,79,0,0,79,150,
KE6SRO,,64,1D,LAX,2,PRC/SPARC/JPLARC/CITARC,1,1,C,0,0,7,7,50,
KE6VRL,,350,1A,SJV,2,Outdoor Adventure USA,3,1,G,0,0,50,50,250,
KE7EGO,,250,1D,NV,2,,1,1,C,0,50,0,50,50,
KE7END,,2974,3A,NV,2,Virgin Valley ARC,16,3,B,116,146,238,500,1450,
KE7F (+N7EMT),,1297,2B2,OR,1,,2,2,G,78,18,755,851,350,
KE7FSD,,282,1D,AZ,2,,3,1,C,0,0,66,66,150,
KE8CEP,,458,1D,OH,2,,1,1,C,0,102,0,102,50,
KE8COT,,1250,3AC,WV,2,Mason Co. ARG,6,3,C,0,135,0,135,710,
